URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE COMPLEX WORDS,FOG INDEX,AVG WORDS PER SENTENCE LENGTH,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE COUNT,PERSONAL PRONOUN COUNT,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,134,44,0.5056179746875394,0.07679033646385232,13.23728813559322,0.37359792924935287,5.444354425937029,13.23728813559322,866,1736,4401,0,7.841052029731275
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,25,5,0.6666666444444451,0.06036217291677631,9.557692307692308,0.34004024144869216,3.9590930196564003,9.557692307692308,169,382,902,0,7.824607329842932
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,24,9,0.45454544077135034,0.054635761498947416,17.257142857142856,0.27483443708609273,7.0127909176915795,17.257142857142856,166,460,984,0,7.2894168466522675
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,16,5,0.5238094988662143,0.0428571427696793,9.245283018867925,0.336734693877551,3.8328070850981906,9.245283018867925,165,383,851,0,7.516971279373368
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,18,1,0.8947367950138528,0.03499079183242948,18.724137931034484,0.30570902394106814,7.611938781990222,18.724137931034484,166,393,872,0,7.463291139240506
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,13,10,0.1304347769376184,0.04925053522644425,8.81132075471698,0.33832976445396146,3.659860207668377,8.81132075471698,158,366,790,0,7.445355191256831
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,10,2,0.6666666111111158,0.032258064429413806,12.827586206896552,0.3225806451612903,5.260066740823137,12.827586206896552,120,284,609,0,7.273684210526316
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,10,3,0.5384614970414233,0.03532608686052694,14.72,0.296195652173913,6.0064782608695655,14.72,109,291,607,0,7.374570446735395
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,10,10,0.0,0.04640371218931853,17.24,0.2459396751740139,6.9943758700696055,17.24,106,335,634,0,6.994065281899109
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,23,6,0.5862068763376939,0.04566929126666253,21.896551724137932,0.4,8.918620689655173,21.896551724137932,254,512,1222,0,7.64922480620155
